#{"t_start": 1733438642.8664284, "env_id": "None"}
r,l,t
-444.066992,10,0.547913
-454.718698,12,1.064515
-481.448161,7,1.340074
-5092.664254,10,1.738453
-498.910446,4,1.922893
-493.21906,3,2.042745
-485.063387,5,2.225994
-434.83678,4,2.373958
-473.844126,7,2.684499
-290.670788,10,3.249893
-481.471394,8,3.592648
-454.486622,6,3.84293
-495.967971,6,4.092727
-346.723319,10,4.509458
-488.208158,6,4.77668
-473.401311,5,4.966495
-384.834988,10,5.371658
-452.100954,8,5.811719
-485.425776,7,6.187616
-481.656071,3,6.305204
-486.079245,7,6.602323
-310.429519,8,6.95191
-333.466662,5,7.209099
-490.033852,3,7.328261
-497.123861,4,7.483114
-457.452368,6,7.722478
-480.547032,6,7.931616
-498.843819,3,8.00729
-471.593145,3,8.086962
-484.266263,7,8.308639
-499.743868,2,8.359599
-482.229366,8,8.580331
-340.37359,9,8.839767
-499.694939,2,8.892139
-355.539661,6,9.094685
-472.348741,9,9.366413
-499.717697,2,9.424463
-497.983685,4,9.605005
-495.123866,2,9.656128
-428.586687,12,10.19394
-484.567804,2,10.245389
-394.864892,12,10.578673
-492.18265,3,10.710936
-301.15713,7,11.033576
-491.04408,8,11.405949
-500.0,1,11.499385
108.550028,8,11.864333
-497.094092,3,11.944856
-413.163706,10,12.671374
-491.064849,8,13.164512
-116.087595,11,13.784729
-494.43473,3,13.967865
-482.717554,5,14.229681
-496.379727,3,14.350419
-484.998754,5,14.543247
-500.0,1,14.609708
-467.038494,15,15.195735
-444.696553,10,15.612543
-404.528042,6,15.870438
-499.422551,2,16.000351
-295.044536,11,16.275985
-486.889526,5,16.416441
-488.576623,2,16.467203
-500.0,1,16.498905
-459.827011,6,16.677599
-379.308935,10,16.958066
-498.097002,3,17.052464
-455.741355,14,17.418075
-446.186405,7,17.58705
-455.093438,9,17.798337
-378.800907,6,17.959064
-496.05665,4,18.068709
-481.523018,3,18.177904
-408.486699,10,18.467796
-500.0,1,18.493665
-337.160256,6,18.669611
-455.79344,8,18.862235
-497.00665,5,18.986244
-463.241129,6,19.18031
-497.069547,6,19.372027
-455.855873,5,19.496734
-480.364417,12,19.779905
-439.698421,8,19.998338
-478.900753,9,20.242917
-496.06991,4,20.340792
-480.238899,8,20.584241
-494.72081,7,20.784658
-477.109392,7,20.991545
-491.511965,4,21.091979
-492.358635,5,21.238157
-457.300944,10,21.479635
-482.953887,3,21.577978
-495.334513,6,21.73454
-484.283523,5,21.86521
-490.471919,6,22.039976
-486.258651,5,22.18292
-480.622536,6,22.35183
-372.207481,10,22.590972
-489.324476,6,22.742056
-449.496047,6,22.911503
-499.659734,2,22.96942
-488.482178,7,23.20742
-496.139832,5,23.382793
-495.184803,3,23.458774
-472.583002,5,23.59839
-494.064862,4,23.704427
-478.448636,7,23.92587
-494.46228,5,24.089702
-197.652582,10,24.342117
-457.919165,4,24.480864
-327.919014,9,24.6985
-500.0,1,24.72435
-469.40528,6,24.87188
-397.273279,10,25.123285
-462.86401,5,25.261068
-495.128321,3,25.338756
-499.238567,2,25.392049
-478.455249,8,25.628972
-468.839862,6,25.78302
-397.65362,11,26.081047
-374.3666,7,26.27974
-492.515758,5,26.443997
-474.477229,4,26.649052
-439.575557,9,26.91221
-466.775186,8,27.253264
-500.0,1,27.27922
-494.415755,9,27.499761
-497.226081,4,27.603197
-451.81018,7,27.842095
-343.366211,12,28.12498
-500.0,1,28.15311
-490.604881,4,28.253474
-496.923507,3,28.349771
-479.745184,8,28.631147
-499.269624,2,28.70315
-500.0,1,28.751903
-489.47311,8,28.971016
-286.391788,8,29.201658
-479.950354,5,29.326032
-459.972772,6,29.477435
-408.349835,8,29.678562
-489.544008,3,29.807725
-392.273003,9,30.132998
-484.413093,4,30.302445
-321.235425,11,30.715046
-380.687022,7,30.90605
-471.574441,7,31.111976
-388.875029,9,31.386532
-442.481449,5,31.527639
-490.869003,9,31.748381
-470.884443,4,31.893083
-448.232512,9,32.142668
-468.261671,6,32.292313
-482.65121,3,32.368425
-490.632788,8,32.624253
-500.0,1,32.650482
-491.395215,7,32.879705
-327.423723,14,33.259302
-215.439072,4,33.358752
-469.453774,9,33.610405
-499.474643,2,33.661428
-458.345763,5,33.857793
-500.0,1,33.883611
-467.705578,9,34.121016
-497.743949,5,34.264131
-296.075801,8,34.49742
-462.455901,7,34.668534
-458.337074,6,34.893518
-488.004217,8,35.119231
-455.007963,6,35.286502
-496.224602,5,35.43921
-500.0,1,35.464996
-469.412862,11,35.764763
-158.861823,10,36.086176
-500.0,1,36.112544
-494.17222,6,36.268668
-500.0,1,36.296845
-385.219634,11,36.60562
-496.207231,2,36.657767
-37.549962,18,37.114255
-497.227227,5,37.241395
-393.170328,9,37.499359
-456.323774,6,37.656729
-488.642501,7,37.835415
-377.538282,13,38.189741
-461.541751,6,38.387145
-493.4238,3,38.474954
-489.008265,3,38.552327
-481.294931,8,38.749069
-458.808171,9,38.970887
-500.0,1,39.008177
-476.288038,12,39.334848
-489.826889,4,39.437118
-498.215215,2,39.488676
-460.421628,5,39.613514
-488.868053,6,39.789045
-490.042664,9,40.003072
-374.066719,8,40.196543
-500.0,1,40.222397
-144.708868,6,40.419078
-374.067695,15,40.760888
-493.885019,7,40.959168
-193.827666,7,41.155137
-314.047769,11,41.419473
-343.63435,9,41.639998
-500.0,1,41.666302
-376.970306,8,41.874237
-342.848883,6,42.025038
-493.013621,3,42.103703
-319.318771,6,42.2557
-429.12939,5,42.401608
-322.691233,10,42.652171
-471.970749,13,42.954094
-484.328576,5,43.136225
-378.980673,11,43.40305
-499.020677,2,43.464606
-494.426785,7,43.642216
-478.683373,10,43.904551
-498.59282,3,43.982558
-500.0,1,44.008961
-477.548631,7,44.185045
-243.641322,4,44.293531
-499.190099,2,44.348978
-472.883079,9,44.6863
-482.048699,13,45.047117
-499.068367,3,45.134801
-498.90614,2,45.186696
-491.90501,6,45.478906
-337.130315,8,45.762321
-472.226474,4,45.963301
-488.090293,5,46.191838
1217.205514,14,47.017493
-486.816444,3,47.145603
-430.434021,8,47.421961
-475.27101,5,47.568441
-472.980658,10,47.806233
-243.390851,12,48.086535
-416.968488,6,48.275973
-491.755644,7,48.445578
-427.355554,9,48.662
-462.973198,9,48.927987
-475.709021,5,49.051772
-495.175347,4,49.152001
-488.497543,3,49.227352
-491.634202,5,49.35158
-500.0,1,49.387125
-479.856209,4,49.486944
-449.887514,12,49.776705
-491.209906,7,49.946126
509689.199568,12,50.261315
-412.406934,11,50.517675
-477.894671,12,50.829619
-468.100767,6,50.980859
-489.799875,5,51.104747
-497.820645,2,51.156048
-486.173828,3,51.233245
-379.022141,9,51.458702
-464.629289,7,51.636233
-485.077181,6,51.784081
-400.25235,6,51.932609
-500.0,1,51.958625
-49.8292,8,52.210746
-486.617331,6,52.359506
-483.622323,3,52.434485
-424.199597,10,52.674214
-473.055541,9,52.93679
-497.522823,2,52.987735
-495.423266,3,53.063312
-487.04349,4,53.167531
-498.562791,3,53.243609
-415.160586,6,53.392034
-490.417099,4,53.54229
-500.0,1,53.56798
-374.657879,8,53.760064
-464.031946,4,53.860264
-494.065726,4,53.961599
-489.414138,4,54.110328
-258.125799,12,54.386775
-385.008784,10,54.62154
-500.0,1,54.655889
-484.481706,4,54.831955
-446.979558,12,55.111035
-491.791742,4,55.212764
-489.369926,11,55.592295
-261.103171,10,55.857779
-483.425359,4,55.959722
-424.463634,8,56.201101
-479.208703,5,56.329999
-498.654543,2,56.401733
-449.423632,14,56.829837
-466.646769,7,57.003378
-487.20528,7,57.182584
-481.878842,8,57.403368
-500.0,1,57.442589
-495.53912,2,57.494475
-492.487848,10,57.749006
-369.105016,9,57.984897
-398.822172,16,58.36974
-496.246769,2,58.430323
-490.610367,7,58.65401
-482.324081,4,58.766151
-500.0,1,58.79338
-488.389062,7,58.967188
-498.755698,4,59.069803
-499.380153,3,59.148052
-499.536172,2,59.209426
-478.144558,5,59.367575
-244.519688,11,59.646182
-491.635919,2,59.700119
-429.083238,11,60.012417
-500.0,1,60.038902
-489.486738,8,60.235046
-478.445227,3,60.313162
-435.93291,9,60.56402
322.026509,17,60.998429
-494.698522,3,61.074849
-487.067173,4,61.193764
-496.803517,2,61.293755
-483.219227,4,61.396485
-495.023853,7,61.570939
-407.346602,7,61.753826
-303.459258,10,62.063953
-484.766097,8,62.25843
110.828263,7,62.431895
-359.643542,9,62.710683
-451.400406,12,63.011363
-478.211094,12,64.677009
-455.723786,8,64.888614
-407.110227,7,65.059775
-376.468767,11,65.401711
-472.761327,8,65.621254
-476.11413,7,65.803031
-488.136921,7,66.007942
-423.846948,7,66.197727
-466.921777,6,66.385624
-390.402987,5,66.53327
-499.137812,3,66.63323
-491.32452,6,66.780669
1776.704903,9,66.999687
-486.583537,3,67.091927
-224.13981,7,67.460695
-369.96863,8,67.687106
-399.134887,8,67.964845
-398.023114,9,68.382615
-498.095015,5,68.640792
-476.699639,11,68.926856
-481.065246,4,69.091908
-445.461439,6,69.371212
-499.653132,2,69.466099
-409.091964,8,69.661058
-484.810396,6,69.841218
-477.709028,7,70.015243
-452.781943,9,70.469001
-500.0,1,70.495108
-490.314735,4,70.648338
-471.416268,6,70.887043
-491.911346,3,71.015633
-273.530721,6,71.216265
-474.380319,8,71.713146
-493.384004,6,71.979091
-426.897116,6,72.218396
-496.246087,7,72.752454
-393.915241,9,73.147899
-466.820949,5,73.26916
-396.818822,8,74.032133
-410.421488,11,74.713622
-466.336612,5,75.297887
-397.201967,13,75.775843
-486.227301,3,75.85611
-500.0,1,75.900437
-479.505065,4,76.000251
-490.673065,5,76.161503
-496.466701,3,76.237262
-493.16842,2,76.286991
-499.39591,3,76.395032
-499.425782,2,76.445324
-496.443599,5,76.602847
-497.325569,3,76.70838
-484.9015,6,76.873451
-499.018864,2,76.925243
-488.002083,6,77.077979
-500.0,1,77.108365
-485.544647,8,77.39909
-499.495828,2,77.632163
-495.273267,3,77.82837
-474.41568,8,78.286957
-482.246728,10,78.934322
-317.578997,13,79.390211
-499.656077,2,79.440843
-332.025158,13,79.740153
-454.468544,16,80.772885
-475.799182,3,80.848642
-496.494366,5,81.077222
-496.263414,3,81.227992
-442.109401,7,81.410606
-440.22395,5,81.533913
-469.889921,6,81.712087
-484.870771,3,81.787835
-490.974237,3,81.916491
-124.731625,11,82.371683
-453.415359,8,82.738733
-491.899382,9,83.282409
-496.567283,4,83.419377
-499.679787,2,83.525965
-457.455805,6,83.862209
-491.706009,5,83.992584
-481.01922,2,84.043763
-467.66947,5,84.168885
-482.519542,11,84.492528
-499.118211,3,84.569241
-498.533648,3,84.645616
-231.452251,10,84.885703
-499.605263,2,84.945111
-497.839051,5,85.113622
-492.453692,2,85.164889
-354.269722,11,85.426889
-391.545302,10,85.672026
-450.817155,4,85.77852
-467.89241,9,85.999185
-403.398226,3,86.079885
-483.551215,11,86.423017
-486.938392,9,86.641055
-486.281705,7,86.815628
-499.608857,2,86.867284
-482.872437,10,87.146087
-492.596342,3,87.224911
-476.559129,7,87.412868
-497.601785,4,87.517587
-493.272456,7,87.756459
-497.720073,3,87.833984
-425.464552,14,88.157734
-97.640942,11,88.475251
-486.303544,5,88.602403
-500.0,1,88.628412
-497.280837,3,88.706015
-491.66207,3,88.78746
-377.084759,5,88.967267
-498.794322,2,89.020891
-486.66333,8,89.21821
-454.433511,4,89.319057
-494.729559,3,89.395984
-489.947962,4,89.498118
-484.865138,4,89.599386
-491.504276,7,89.772382
-499.772794,2,89.8239
-429.648422,10,90.076762
-496.048535,7,90.259617
-471.513532,5,90.386818
-500.0,1,90.414352
-484.413201,7,90.588627
-492.762541,4,90.693445
-377.013804,6,90.866249
-474.50714,5,90.996907
-490.737078,4,91.098519
-466.328419,5,91.223667
-496.445086,6,91.378449
-494.0957,3,91.482267
1400.104027,11,91.752061
-490.593125,4,91.853469
-2531.633003,8,92.056787
-457.822693,8,92.298278
-497.267919,4,92.398964
-488.614443,10,92.638839
-393.3717,9,92.882011
-496.357182,2,92.933708
-495.010449,8,93.127983
-432.809246,6,93.2765
-500.0,1,93.302476
-499.636515,2,93.354
-495.405423,3,93.434634
-500.0,1,93.46085
-473.806231,6,93.62075
-494.076694,2,93.673151
-483.502852,3,93.749757
-199.404342,12,94.031736
-427.824976,5,94.168909
-492.306966,3,94.254478
-430.823375,8,94.451975
-295.164269,9,94.66779
-454.242712,3,94.744231
-444.669035,5,95.046522
102390.041212,13,95.346962
-481.857506,5,95.48521
-459.46443,7,95.834361
-466.373311,6,96.039523
-493.216355,4,96.232455
-464.816637,5,96.391073
-448.026779,12,96.737694
